ADM1_NAME,ADM1_CODE,ADM2_NAME,ADM2_CODE,totpop2019
Haut-Katanga,CD71,Mufunga Sampwe,CD7108ZS02,189980
Haut-Katanga,CD71,Kilwa,CD7109ZS01,341680
Haut-Katanga,CD71,Pweto,CD7109ZS02,272743
Haut-Katanga,CD71,Sakania,CD7104ZS01,255407
Haut-Lomami,CD73,Bukama,CD7306ZS01,378314
Haut-Lomami,CD73,Butumba,CD7306ZS02,211081
Haut-Lomami,CD73,Kabondo Dianda,CD7306ZS03,284966
Haut-Lomami,CD73,Kinkondja,CD7306ZS04,270422
Haut-Lomami,CD73,Kabongo,CD7304ZS01,389139
Haut-Lomami,CD73,Kayamba,CD7304ZS02,113814
Haut-Lomami,CD73,Kitenge,CD7304ZS03,301305
Haut-Lomami,CD73,Baka,CD7302ZS01,34101
Haut-Lomami,CD73,Kamina,CD7302ZS02,341687
Haut-Lomami,CD73,Kinda,CD7302ZS03,96391
Haut-Lomami,CD73,Songa,CD7302ZS04,194990
Haut-Lomami,CD73,Kaniama,CD7303ZS01,307906
Haut-Lomami,CD73,Malemba ,CD7305ZS01,308651
Haut-Lomami,CD73,Lwamba,CD7305ZS02,144678
Haut-Lomami,CD73,Mukanga,CD7305ZS03,233414
Haut-Lomami,CD73,Mulongo,CD7305ZS04,310537
Haut-Uele,CD53,Doruma,CD5305ZS01,72010
Haut-Uele,CD53,Dungu,CD5305ZS02,130167
Haut-Uele,CD53,Aba,CD5307ZS01,133665
Haut-Uele,CD53,Faradje,CD5307ZS02,119602
Haut-Uele,CD53,Makoro,CD5307ZS03,126746
Haut-Uele,CD53,Niangara,CD5303ZS01,119098
Haut-Uele,CD53,Isiro,CD5302ZS01,256285
Haut-Uele,CD53,Rungu,CD5302ZS02,107405
Haut-Uele,CD53,Boma-Mangbetu,CD5311ZS01,113763
Haut-Uele,CD53,Pawa,CD5311ZS02,175104
Haut-Uele,CD53,Wamba,CD5311ZS03,137399
Haut-Uele,CD53,Gombari,CD5309ZS01,116351
Haut-Uele,CD53,Watsa,CD5309ZS02,176561
Ituri,CD54,Adi,CD5409ZS01,169602
Ituri,CD54,Adja,CD5409ZS02,132450
Ituri,CD54,Ariwara,CD5409ZS03,211050
Ituri,CD54,Aru,CD5409ZS04,189907
Ituri,CD54,Biringi,CD5409ZS05,128483
Ituri,CD54,Laybo,CD5409ZS06,148594
Ituri,CD54,Bambu,CD5405ZS01,155978
Ituri,CD54,Damas,CD5405ZS02,122401
Ituri,CD54,Drodro,CD5405ZS03,162295
Ituri,CD54,Fataki,CD5405ZS04,134493
Ituri,CD54,Jiba,CD5405ZS05,143703
Ituri,CD54,Kilo,CD5405ZS06,58618
Ituri,CD54,Linga,CD5405ZS07,154656
Ituri,CD54,Lita,CD5405ZS08,134401
Ituri,CD54,Mangala,CD5405ZS09,97163
Ituri,CD54,Mongbalu,CD5405ZS10,139850
Ituri,CD54,Nizi,CD5405ZS11,148532
Ituri,CD54,Rethy,CD5405ZS12,210058
Ituri,CD54,Tchomia,CD5405ZS13,115748
Ituri,CD54,Boga,CD5402ZS01,71077
Ituri,CD54,Bunia,CD5402ZS02,281153
Ituri,CD54,Gethy,CD5402ZS03,195602
Ituri,CD54,Komanda,CD5402ZS04,193793
Ituri,CD54,Nyakunde,CD5402ZS05,102707
Ituri,CD54,Rwampara,CD5402ZS06,140581
Ituri,CD54,Angumu,CD5407ZS01,172081
Ituri,CD54,Aungba,CD5407ZS02,165865
Ituri,CD54,Kambala,CD5407ZS03,129784
Ituri,CD54,Logo,CD5407ZS04,252237
Ituri,CD54,Mahagi,CD5407ZS05,183030
Ituri,CD54,Nyarambe,CD5407ZS06,244557
Ituri,CD54,Rimba,CD5407ZS07,221641
Ituri,CD54,Lolwa,CD5403ZS01,48003
Ituri,CD54,Mambasa,CD5403ZS02,100565
Ituri,CD54,Mandima,CD5403ZS03,144909
Ituri,CD54,Nia-Nia,CD5403ZS04,74827
Kasaï,CD92,Dekese,CD9208ZS01,157635
Kasaï,CD92,Banga Lubaka,CD9205ZS01,168465
Kasaï,CD92,Ilebo,CD9205ZS02,191422
Kasaï,CD92,Mikope,CD9205ZS03,201480
Kasaï,CD92,Kalonda Ouest,CD9202ZS01,440621
Kasaï,CD92,Kamonia,CD9202ZS02,347754
Kasaï,CD92,Kamwesha,CD9202ZS03,409407
Kasaï,CD92,Kanzala,CD9202ZS04,260337
Kasaï,CD92,Kitangwa,CD9202ZS05,262529
Kasaï,CD92,Mutena,CD9202ZS06,247041
Kasaï,CD92,Nyanga,CD9202ZS07,133775
Kasaï,CD92,Tshikapa,CD9202ZS08,394109
Kasaï,CD92,Luebo,CD9204ZS01,261956
Kasaï,CD92,Ndjoko-Mpunda,CD9204ZS02,163499
Kasaï,CD92,Bulape,CD9207ZS01,183266
Kasaï,CD92,Kakenge,CD9207ZS02,158911
Kasaï,CD92,Mushenge,CD9207ZS03,157428
Kasaï,CD92,Mweka,CD9207ZS04,218234
Kasaï-Central,CD91,Bena Leka,CD9106ZS01,300091
Kasaï-Central,CD91,Demba,CD9106ZS02,340917
Kasaï-Central,CD91,Mutoto,CD9106ZS03,138937
Kasaï-Central,CD91,Bunkonde,CD9102ZS01,122489
Kasaï-Central,CD91,Dibaya,CD9102ZS02,161675
Kasaï-Central,CD91,Lubondaie,CD9102ZS03,161994
Kasaï-Central,CD91,Tshikula,CD9102ZS04,146794
Kasaï-Central,CD91,Bena Tshiadi,CD9107ZS01,123061
Kasaï-Central,CD91,Katende,CD9107ZS02,97979
Kasaï-Central,CD91,Lubunga,CD9107ZS03,105808
Kasaï-Central,CD91,Muetshi,CD9107ZS04,121401
Kasaï-Central,CD91,Bobozo,CD9101ZS01,48414
Kasaï-Central,CD91,Kananga,CD9101ZS02,293484
Kasaï-Central,CD91,Katoka,CD9101ZS03,152155
Kasaï-Central,CD91,Lukonga,CD9101ZS04,293071
Kasaï-Central,CD91,Ndesha,CD9101ZS05,111374
Kasaï-Central,CD91,Tshikaji,CD9101ZS06,129124
Kasaï-Central,CD91,Bilomba,CD9105ZS01,97349
Kasaï-Central,CD91,Kalomba,CD9105ZS02,162506
Kasaï-Central,CD91,Mikalayi,CD9105ZS03,236518
Kasaï-Central,CD91,Ndekesha,CD9105ZS04,171634
Kasaï-Central,CD91,Tshibala,CD9105ZS05,262787
Kasaï-Central,CD91,Luambo,CD9104ZS01,293798
Kasaï-Central,CD91,Luiza,CD9104ZS02,185268
Kasaï-Central,CD91,Masuika,CD9104ZS03,220767
Kasaï-Central,CD91,Yangala,CD9104ZS04,165065
Kasaï-Oriental,CD82,Kabeya Kamuanga,CD8207ZS01,203586
Kasaï-Oriental,CD82,Bibanga,CD8209ZS01,168873
Kasaï-Oriental,CD82,Tshitenge,CD8209ZS02,260239
Kasaï-Oriental,CD82,Mukumbi,CD8208ZS01,133541
Kasaï-Oriental,CD82,Tshishimbi,CD8208ZS02,215523
Kasaï-Oriental,CD82,Bipemba,CD8201ZS01,404745
Kasaï-Oriental,CD82,Bonzola,CD8201ZS02,226952
Kasaï-Oriental,CD82,Dibindi,CD8201ZS03,299823
Kasaï-Oriental,CD82,Diulu,CD8201ZS04,419850
Kasaï-Oriental,CD82,Kansele,CD8201ZS05,286496
Kasaï-Oriental,CD82,Lubilanji,CD8201ZS06,294817
Kasaï-Oriental,CD82,Lukelenge,CD8201ZS07,308096
Kasaï-Oriental,CD82,Mpokolo,CD8201ZS08,344197
Kasaï-Oriental,CD82,Muya,CD8201ZS09,392954
Kasaï-Oriental,CD82,Nzaba,CD8201ZS10,333714
Kasaï-Oriental,CD82,Cilundu,CD8205ZS01,205245
Kasaï-Oriental,CD82,Miabi,CD8205ZS02,164607
Kasaï-Oriental,CD82,Kasansa,CD8202ZS01,232597
Kasaï-Oriental,CD82,Tshilenge,CD8202ZS02,334411
Kinshasa,CD10,Bandalungwa,CD1000ZS01,216767
Kinshasa,CD10,Barumbu,CD1000ZS02,181160
Kinshasa,CD10,Binza Meteo,CD1000ZS03,478978
Kinshasa,CD10,Binza Ozone,CD1000ZS04,446411
Kinshasa,CD10,Biyela,CD1000ZS05,268476
