"","HZ","p_cm","expert","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","score_log","score_bri"
"52","LOLWA",">=2",15,0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.693147180359945,0.5
"53","LOLWA",">=2",12,0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.22314355118921,0.2
"54","LOLWA",">=2",7,0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.0512932942822874,0.05
"55","LOLWA",">=20",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"56","LOLWA",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"57","LOLWA",">=20",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"58","LOLWA",">=6",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"59","LOLWA",">=6",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"60","LOLWA",">=6",15,0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.105360515546715,0.1
"61","MABALAKO",">=10",7,0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.693147180759945,0.5
"62","MABALAKO",">=10",12,0.15,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.89711998555255,0.85
"63","MABALAKO",">=10",15,0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-2.99573227555399,0.95
"64","MABALAKO",">=2",7,0.95,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.0512932944928137,0.05
"65","MABALAKO",">=2",12,1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.00000008279037e-10,0
"66","MABALAKO",">=2",15,0.8,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.22314355143921,0.2
"67","MABALAKO",">=20",7,0.15,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.89711998555255,0.85
"68","MABALAKO",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-23.0258509299405,1
"69","MABALAKO",">=20",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-23.0258509299405,1
"70","MABALAKO",">=6",7,0.8,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.22314355143921,0.2
"71","MABALAKO",">=6",12,0.65,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.4307829162463,0.35
"72","MABALAKO",">=6",15,0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.6094379129341,0.8
"73","MAMBASA",">=10",7,0.3,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.356674943795875,0.3
"74","MAMBASA",">=10",12,0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.105360515546715,0.1
"75","MAMBASA",">=10",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"76","MAMBASA",">=2",7,0.9,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-2.30258509199405,0.9
"77","MAMBASA",">=2",15,0.75,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.38629436071989,0.75
"78","MAMBASA",">=2",12,0.9,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-2.30258509199405,0.9
"79","MAMBASA",">=20",7,0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.0512932942822874,0.05
"80","MAMBASA",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"81","MAMBASA",">=20",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"82","MAMBASA",">=6",7,0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.693147180359945,0.5
"83","MAMBASA",">=6",12,0.35,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.430782915938608,0.35
"84","MAMBASA",">=6",15,0.15,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.162518929380128,0.15
"85","MANDIMA",">=10",7,0.9,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-2.30258509199405,0.9
"86","MANDIMA",">=10",12,0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.693147180359945,0.5
"87","MANDIMA",">=10",15,0.35,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.430782915938608,0.35
"88","MANDIMA",">=2",7,1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.00000008279037e-10,0
"89","MANDIMA",">=2",15,1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.00000008279037e-10,0
"90","MANDIMA",">=2",12,1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.00000008279037e-10,0
"91","MANDIMA",">=20",7,0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.693147180359945,0.5
"92","MANDIMA",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"93","MANDIMA",">=20",15,0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.0512932942822874,0.05
"94","MANDIMA",">=6",7,1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.00000008279037e-10,0
"95","MANDIMA",">=6",12,0.9,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.105360515768937,0.1
"96","MANDIMA",">=6",15,0.7,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.35667494408159,0.3
"97","NYAKUNDE",">=10",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"98","NYAKUNDE",">=10",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"99","NYAKUNDE",">=10",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"100","NYAKUNDE",">=2",7,0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.0512932942822874,0.05
"101","NYAKUNDE",">=2",15,0.45,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.597837000573802,0.45
"102","NYAKUNDE",">=2",12,0.2,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.22314355118921,0.2
"103","NYAKUNDE",">=20",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"104","NYAKUNDE",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"105","NYAKUNDE",">=20",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"106","NYAKUNDE",">=6",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"107","NYAKUNDE",">=6",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"108","NYAKUNDE",">=6",15,0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.0512932942822874,0.05
"109","OICHA",">=10",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"110","OICHA",">=10",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"111","OICHA",">=10",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"112","OICHA",">=2",15,0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.693147180759945,0.5
"113","OICHA",">=2",12,0.4,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-0.916290732124155,0.6
"114","OICHA",">=2",7,0.25,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,-1.38629436151989,0.75
"115","OICHA",">=20",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"116","OICHA",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"117","OICHA",">=20",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-1.00000008279037e-10,0
"118","OICHA",">=6",7,0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.0512932942822874,0.05
"119","OICHA",">=6",12,0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.105360515546715,0.1
"120","OICHA",">=6",15,0.1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,-0.105360515546715,0.1
"121","BENI",">=10",7,0.06,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0618754036117045,0.06
"122","BENI",">=10",12,0.06,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0618754036117045,0.06
"123","BENI",">=10",15,0.06,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0618754036117045,0.06
"124","BENI",">=2",7,0.539,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.618039708258669,0.461
"125","BENI",">=2",12,0.539,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.618039708258669,0.461
"126","BENI",">=2",15,0.539,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-0.618039708258669,0.461
"127","BENI",">=20",7,0.002,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00200200257047267,0.002
"128","BENI",">=20",12,0.002,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00200200257047267,0.002
"129","BENI",">=20",15,0.002,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00200200257047267,0.002
"130","BENI",">=6",7,0.184,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-1.69281952191663,0.816
"131","BENI",">=6",12,0.184,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-1.69281952191663,0.816
"132","BENI",">=6",15,0.184,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",1,-1.69281952191663,0.816
"133","GOMA",">=10",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"134","GOMA",">=10",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"135","GOMA",">=10",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"136","GOMA",">=2",7,0.004,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00400802129713721,0.004
"137","GOMA",">=2",12,0.004,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00400802129713721,0.004
"138","GOMA",">=2",15,0.004,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00400802129713721,0.004
"139","GOMA",">=20",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"140","GOMA",">=20",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"141","GOMA",">=20",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"142","GOMA",">=6",7,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"143","GOMA",">=6",12,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"144","GOMA",">=6",15,0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-1.00000008279037e-10,0
"145","KALUNGUTA",">=10",7,0.028,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0283994744188173,0.028
"146","KALUNGUTA",">=10",12,0.028,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0283994744188173,0.028
"147","KALUNGUTA",">=10",15,0.028,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.0283994744188173,0.028
"148","KALUNGUTA",">=2",7,0.394,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.500875292747806,0.394
"149","KALUNGUTA",">=2",12,0.394,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.500875292747806,0.394
"150","KALUNGUTA",">=2",15,0.394,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.500875292747806,0.394
"151","KALUNGUTA",">=20",7,0.001,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00100050023348343,0.001
"152","KALUNGUTA",">=20",12,0.001,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00100050023348343,0.001
"153","KALUNGUTA",">=20",15,0.001,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00100050023348343,0.001
"154","KALUNGUTA",">=6",7,0.103,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.108699416811858,0.103
"155","KALUNGUTA",">=6",12,0.103,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.108699416811858,0.103
"156","KALUNGUTA",">=6",15,0.103,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.108699416811858,0.103
"157","KATWA",">=10",7,0.008,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00803217159645781,0.008
"158","KATWA",">=10",12,0.008,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00803217159645781,0.008
"159","KATWA",">=10",15,0.008,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.00803217159645781,0.008
"160","KATWA",">=2",7,0.279,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.327116141558492,0.279
"161","KATWA",">=2",12,0.279,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.327116141558492,0.279
"162","KATWA",">=2",15,0.279,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","model",0,-0.327116141558492,0.279
