"","expert","HZ","p_cm","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","institution","last.in.field","experience.ide","score_bri","score_log"
"18",7,"LOLWA",">=2",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932942822874
"19",7,"LOLWA",">=20",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"20",7,"LOLWA",">=6",0,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
"21",7,"MABALAKO",">=10",0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.5,-0.693147180759945
"22",7,"MABALAKO",">=2",0.95,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932944928137
"23",7,"MABALAKO",">=20",0.15,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.85,-1.89711998555255
"24",7,"MABALAKO",">=6",0.8,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0.2,-0.22314355143921
"25",7,"MAMBASA",">=10",0.3,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.3,-0.356674943795875
"26",7,"MAMBASA",">=2",0.9,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.9,-2.30258509199405
"27",7,"MAMBASA",">=20",0.05,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.05,-0.0512932942822874
"28",7,"MAMBASA",">=6",0.5,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.5,-0.693147180359945
"29",7,"MANDIMA",">=10",0.9,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",0,"LSHTM","<2 weeks ago","<5 years",0.9,-2.30258509199405
"30",7,"MANDIMA",">=2",1,2019-10-25,2019-11-30,2019-11-01,7,36,"November_2019","expert",1,"LSHTM","<2 weeks ago","<5 years",0,-1.00000008279037e-10
