"","HZ","p_cm","expert","p_cm_val","expert_date","horizon_end_date","horizon_start_date","delay","total_horizon","month","type","reported_cases","score_bri","score_log"
"1","BUTEMBO",">=2",4,0.45,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",1,0.55,-0.798507696439994
"2","BUTEMBO",">=2",8,0.5,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",1,0.5,-0.693147180759945
"3","KATWA",">=2",4,0.5,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",1,0.5,-0.693147180759945
"4","KATWA",">=2",8,0.5,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",1,0.5,-0.693147180759945
"5","KOMANDA",">=2",1,0.8,2019-11-11,2019-12-31,2019-12-01,20,50,"December_2019","expert",0,0.8,-1.6094379119341
"6","KOMANDA",">=2",10,0.45,2019-11-14,2019-12-31,2019-12-01,17,47,"December_2019","expert",0,0.45,-0.597837000573802
"7","KOMANDA",">=2",2,0.6,2019-11-12,2019-12-31,2019-12-01,19,49,"December_2019","expert",0,0.6,-0.916290731624155
"8","KOMANDA",">=2",3,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"9","KOMANDA",">=2",9,0.3,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0.3,-0.356674943795875
"10","LOLWA",">=2",3,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"11","MAKISO-KISANGANI",">=2",4,0.5,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0.5,-0.693147180359945
"12","NYAKUNDE",">=2",10,0.35,2019-11-14,2019-12-31,2019-12-01,17,47,"December_2019","expert",0,0.35,-0.430782915938608
"13","OICHA",">=2",1,0.8,2019-11-11,2019-12-31,2019-12-01,20,50,"December_2019","expert",0,0.8,-1.6094379119341
"14","OICHA",">=2",10,0.5,2019-11-14,2019-12-31,2019-12-01,17,47,"December_2019","expert",0,0.5,-0.693147180359945
"15","OICHA",">=2",2,0.4,2019-11-12,2019-12-31,2019-12-01,19,49,"December_2019","expert",0,0.4,-0.510825623599324
"16","OICHA",">=2",3,0,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0,-1.00000008279037e-10
"17","OICHA",">=2",4,0.45,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0.45,-0.597837000573802
"18","OICHA",">=2",5,0.05,2019-11-15,2019-12-31,2019-12-01,16,46,"December_2019","expert",0,0.05,-0.0512932942822874
"19","OICHA",">=2",9,0.6,2019-11-22,2019-12-31,2019-12-01,9,39,"December_2019","expert",0,0.6,-0.916290731624155
"20","ABA",">=2",1,0,2019-12-01,2020-03-31,2019-12-01,0,30,"December_2019","expert",0,0,-1.00000008279037e-10
"21","ADI",">=2",1,0,2019-12-01,2020-03-31,2019-12-01,0,30,"December_2019","expert",0,0,-1.00000008279037e-10
"22","ADJA",">=2",1,0,2019-12-01,2020-03-31,2019-12-01,0,30,"December_2019","expert",0,0,-1.00000008279037e-10
"23","AKETI",">=2",1,0,2019-12-01,2020-03-31,2019-12-01,0,30,"December_2019","expert",0,0,-1.00000008279037e-10
"24","ALIMBONGO",">=2",1,0,2019-12-01,2020-03-31,2019-12-01,0,30,"December_2019","expert",0,0,-1.00000008279037e-10
"25","ALUNGULI",">=2",1,0,2019-12-01,2020-03-31,2019-12-01,0,30,"December_2019","expert",0,0,-1.00000008279037e-10
