"","HZ","month","expert",">=2",">=6",">=10",">=20"
"130","Kalunguta","February 2020",11,0.8,0.1,0,0
"131","Kalunguta","February 2020",12,0.8,0.4,0.15,0
"132","Kalunguta","February 2020",13,0,0,0,0
"133","Kalunguta","February 2020",14,0.8,0,0,0
"134","Katwa","February 2020",1,0.2,0,0,0
"135","Katwa","February 2020",2,1,0.05,0,0
"136","Katwa","February 2020",3,0.45,0,0,0
"137","Katwa","February 2020",4,0.95,0.65,0.2,0
"138","Katwa","February 2020",5,0.85,0.35,0,0
"139","Katwa","February 2020",8,0.75,0.3,0.2,0
"140","Katwa","February 2020",9,0,0,0,0
"141","Katwa","February 2020",11,0.85,0.1,0,0
"142","Katwa","February 2020",12,0.95,0.6,0.25,0
"143","Katwa","February 2020",13,0.8,0,0,0
"144","Katwa","February 2020",14,1,0.15,0,0
"145","Kayna","February 2020",1,0.1,0,0,0
"146","Kayna","February 2020",2,0.25,0.05,0,0
"147","Kayna","February 2020",3,0,0,0,0
"148","Kayna","February 2020",4,0.2,0,0,0
"149","Kayna","February 2020",5,0.1,0,0,0
"150","Kayna","February 2020",8,0.25,0,0,0
"151","Kayna","February 2020",9,0,0,0,0
"152","Kayna","February 2020",11,0.25,0,0,0
"153","Kayna","February 2020",12,0.6,0.05,0,0
"154","Kayna","February 2020",13,0.4,0,0,0
"155","Kayna","February 2020",14,1,0.2,0,0
"156","Mabalako","December 2019",1,0.8,0.4,0,0
"157","Mabalako","December 2019",2,0.95,0.5,0.15,0
"158","Mabalako","December 2019",3,0.85,0.35,0.05,0
"159","Mabalako","December 2019",4,1,1,1,0.1
"160","Mabalako","December 2019",5,1,1,0.55,0
"161","Mabalako","December 2019",6,0.6,0,0,0
"162","Mabalako","December 2019",7,0.5,0,0,0
"163","Mabalako","December 2019",8,1,1,1,0.75
"164","Mabalako","December 2019",9,0.5,0,0,0
"165","Mabalako","December 2019",10,1,1,1,0.9
"166","Mabalako","January 2020",1,1,1,1,0.75
"167","Mabalako","January 2020",2,1,1,0.35,0
"168","Mabalako","January 2020",4,0.95,0.75,0.3,0
"169","Mabalako","January 2020",5,1,1,1,0.95
"170","Mabalako","January 2020",8,1,0.95,0.85,0.3
"171","Mabalako","January 2020",9,1,0.95,0.25,0
"172","Mabalako","January 2020",10,0.7,0,0,0
"173","Mabalako","January 2020",11,1,1,1,1
"174","Mabalako","February 2020",1,0.95,0.7,0.3,0
"175","Mabalako","February 2020",2,1,0.15,0,0
"176","Mabalako","February 2020",3,1,1,1,0
"177","Mabalako","February 2020",4,1,1,0.9,0.05
"178","Mabalako","February 2020",5,1,1,1,0
"179","Mabalako","February 2020",8,0.95,0.85,0.65,0.15
"180","Mabalako","February 2020",9,0.7,0,0,0
"181","Mabalako","February 2020",11,1,1,1,0
"182","Mabalako","February 2020",12,1,0.6,0.2,0
"183","Mabalako","February 2020",13,0.8,0.2,0,0
"184","Mabalako","February 2020",14,0.85,0.1,0,0
"185","Mambasa","December 2019",1,0.8,0.4,0,0
"186","Mambasa","December 2019",2,0.7,0.05,0,0
"187","Mambasa","December 2019",3,0.65,0.05,0,0
"188","Mambasa","December 2019",4,1,0.8,0.4,0
"189","Mambasa","December 2019",5,0.2,0,0,0
"190","Mambasa","December 2019",6,0.3,0,0,0
"191","Mambasa","December 2019",7,0.6,0.1,0,0
"192","Mambasa","December 2019",8,0.65,0.3,0.15,0
"193","Mambasa","December 2019",9,0,0,0,0
"194","Mambasa","December 2019",10,0.5,0.3,0.3,0
"195","Mambasa","February 2020",1,0.9,0.45,0.1,0
"196","Mambasa","February 2020",2,0.9,0.1,0,0
"197","Mambasa","February 2020",3,0.4,0,0,0
"198","Mambasa","February 2020",4,0.95,0.7,0.35,0
"199","Mambasa","February 2020",5,0.95,0.8,0.4,0
"200","Mambasa","February 2020",8,0.65,0.3,0.1,0
"201","Mambasa","February 2020",9,0.65,0,0,0
"202","Mambasa","February 2020",11,0.5,0,0,0
"203","Mambasa","February 2020",12,0.95,0.4,0.05,0
"204","Mambasa","February 2020",13,1,0.85,0.3,0
"205","Mambasa","February 2020",14,0.4,0,0,0
"206","Mandima","December 2019",1,0.8,0.4,0,0
"207","Mandima","December 2019",2,0.95,0.3,0,0
"208","Mandima","December 2019",3,0.7,0.2,0,0
"209","Mandima","December 2019",4,1,1,1,0.25
"210","Mandima","December 2019",5,0.3,0,0,0
"211","Mandima","December 2019",6,0.5,0,0,0
"212","Mandima","December 2019",7,0.75,0.35,0.1,0
"213","Mandima","December 2019",8,0.9,0.4,0.15,0
"214","Mandima","December 2019",9,0.55,0,0,0
"215","Mandima","December 2019",10,0.75,0.75,0.6,0
"216","Mandima","January 2020",1,0.95,0.5,0.15,0
"217","Mandima","January 2020",2,1,0.7,0.05,0
"218","Mandima","January 2020",4,0.95,0.65,0.25,0
"219","Mandima","January 2020",5,0.95,0.25,0,0
"220","Mandima","January 2020",8,0.9,0.5,0.15,0
"221","Mandima","January 2020",9,0.9,0.3,0,0
"222","Mandima","January 2020",10,0.25,0,0,0
"223","Mandima","January 2020",11,1,1,1,0.8
"224","Mandima","February 2020",1,0.9,0.45,0.1,0
"225","Mandima","February 2020",2,0.8,0.1,0,0
"226","Mandima","February 2020",3,1,1,0.85,0
"227","Mandima","February 2020",4,0.6,0.4,0,0
"228","Mandima","February 2020",5,0.55,0,0,0
"229","Mandima","February 2020",8,0.65,0.4,0.2,0
"230","Mandima","February 2020",9,0.65,0,0,0
"231","Mandima","February 2020",11,1,0.5,0.05,0
"232","Mandima","February 2020",12,0.7,0.3,0.1,0
"233","Mandima","February 2020",13,0.9,0.55,0.05,0
"234","Mandima","February 2020",14,0.85,0,0,0
"235","Mandima","March 2020",1,0.1,0,0,0
"236","Mandima","March 2020",3,0,0,0,0
"237","Mandima","March 2020",4,0.55,0.15,0,0
"238","Mandima","March 2020",5,0,0,0,0
"239","Mandima","March 2020",8,0.5,0.25,0.1,0
"240","Mandima","March 2020",9,0,0,0,0
"241","Mandima","March 2020",11,0.05,0,0,0
"242","Mandima","March 2020",13,0,0,0,0
"243","Musienene","February 2020",1,0.1,0,0,0
"244","Musienene","February 2020",2,0.65,0.05,0,0
"245","Musienene","February 2020",3,0.15,0,0,0
"246","Musienene","February 2020",4,0.75,0.55,0.25,0
"247","Musienene","February 2020",5,0.5,0,0,0
"248","Musienene","February 2020",8,0.45,0.15,0.05,0
"249","Musienene","February 2020",9,0,0,0,0
"250","Musienene","February 2020",11,0.75,0,0,0
"251","Musienene","February 2020",12,0.75,0.2,0.05,0
"252","Musienene","February 2020",13,0.4,0,0,0
"253","Musienene","February 2020",14,0.9,0,0,0
"254","Oicha","January 2020",1,0.95,0.55,0.15,0
"255","Oicha","January 2020",2,0.55,0.15,0.05,0
"256","Oicha","January 2020",4,0.95,0.4,0.25,0
"257","Oicha","January 2020",5,0.15,0,0,0
"258","Oicha","January 2020",8,0.65,0.25,0.05,0
"259","Oicha","January 2020",9,0.8,0.05,0,0
"260","Oicha","January 2020",10,0.2,0,0,0
"261","Oicha","January 2020",11,1,0.85,0.45,0
